cauhoi,cautraloi
Trường mình nằm ở đâu vậy?,"Trường THPT Marie Curie tọa lạc tại159 Nam Kì Khởi Nghĩa, P Xuân Hòa, TP.HCM"
Học sinh nữ mang đồng phục gì?,"Học sinh nữ có 3 loại đồng phục: áo dài, đồng phục chính khóa (váy xanh- áo trắng), đồng phục thể dục. Mang đồng phục theo thời khóa biểu quy định."
Học sinh nam mang đồng phục gì?,"Học sinh nam có 2 loại đồng phục: đồng phục chính khóa(sơ mi trắng- quần tây xanh dài), và đồng phục thể dục. Mang đồng phục theo thời khoa biểu quy định."
Trường có nhiều cây xanh hay không?,"Trường THPT Marie Curie đã có hơn 100 năm tuổi, là một trong những trường có nhiều cây xanh cổ thụ lớn nhất TPHCM."
Chỉ tiêu tuyển sinh của trường năm học 2025-2026 là bao nhiêu?,Mỗi năm trường THPT Marie Curie tuyển sinh gần 1000 học sinh.
Cách tính điểm xét tuyển lớp 10 như thế nào?,Điểm xét tuyển = Điểm Ngữ văn + Điểm Toán + Điểm Ngoại ngữ + Điểm ưu tiên (nếu có)
"Điểm chuẩn của trường THPT Marie Curie phường xuân hòa, TPHCM trong những năm gần đây?","Điểm chuẩn vào lớp 10 của trường THPT Marie Curie trong 3 năm thi tuyển gần nhất lần lượt là 19,75 điểm cho năm 2024, 20 điểm cho năm 2023 và 19,5 điểm cho năm 2022. Cần lưu ý rằng năm 2021, do không tổ chức thi tuyển và chỉ xét học bạ."
Điểm liệt là gì và ảnh hưởng đến kết quả xét tuyển ra sao?,"Tại TP.HCM, nếu thí sinh có bất kỳ bài thi nào bị 0 điểm, bài thi đó sẽ bị coi là điểm liệt.Nếu bị điểm liệt ở bất kỳ môn nào, thí sinh sẽ không đủ điều kiện xét tuyển vào lớp 10 trường THPT công lập. Điều này có nghĩa là bạn sẽ trượt, dù cho tổng điểm hai môn còn lại có cao đến đâu."
Trường có cho phép thay đổi nguyện vọng sau khi đã nộp hồ sơ không?,HS chỉ được phép thay đổi nguyện vọng theo ngày giờ quy định của Sở giáo dục TPHCM quy định trên CSDL của ngành.
Học sinh có cần Căn cước công dân để dự thi không?,Có. HS cần mang theo CCCD và thẻ dự thi.
Lệ phí thi và các khoản phí liên quan là bao nhiêu?,HS không đóng lệ phí thi hay bất kì khoản nào khác.
"Nếu không trúng tuyển vào trường công lập, em có những lựa chọn nào khác?",Bạn có thể chọn trường tư thục hoặc TT giáo dục thường xuyên nhé!
"Chính sách ưu tiên, tuyển thẳng của trường được áp dụng như thế nào?","Chính sách tuyển sinh lớp 10 tại TP.HCM có hai diện chính là tuyển thẳng và cộng điểm ưu tiên. Theo đó, các học sinh khuyết tật hoặc đạt giải cấp quốc gia, quốc tế về văn hóa, thể thao sẽ được xét tuyển thẳng vào các trường THPT công lập (trừ trường chuyên). Đối với diện cộng điểm, học sinh sẽ được cộng thêm từ 1 đến 2 điểm, tùy thuộc vào đối tượng như con liệt sĩ, con thương binh, hoặc là người dân tộc thiểu số"
Những chương trình nào là ngoài nhà trường?,"Trường có tổ chức các chương trình: Tiếng anh tăng cường, MOS, STEM."
STEM là chương trình gì? Có bắt buộc hay không?,"Trường bắt đầu triển khai dạy STEM cho HS khối 10 năm học 2025-2026.Chương trình STEM là một phương pháp giáo dục hiện đại, tích hợp kiến thức và kỹ năng từ bốn lĩnh vực chính: Science (Khoa học), Technology (Công nghệ), Engineering (Kỹ thuật) và Mathematics (Toán học)."
"Học phí các chường trình MOS, STEM là bao nhiêu?","Tại THPT Marie Curie, học phí được thu theo quy định của sở giáo dục và đào tạo. Với mỗi môn học ngoài nhà trường, không được phép thu quá 200.000/tháng."
"Có bắt buộc học MOS, và STEM hay không?","Tại THPT Marie Curie, căn cứ vào mục tiêu giáo dục phổ thông 2018 để triển khai chương trình ngoài nhà trường, khuyến khích học sinh tham gia."
"Nếu chọn sai tổ hợp môn, em có được đổi lại không?","Có, sau khi có danh sách lớp mà bạn muốn đổi lại tổ hợp môn chọn, liên hệ phòng học vụ giải quyết."
Trường có xe đưa rước hay không?,Trường hiện chưa có xe đưa rước học sinh. 
Học sinh có thể đăng ký tham gia câu lạc bộ như thế nào?,HS liên hệ với giáo viên phụ trách câu lạc bộ mà bạn muốn tham gia nhé!
"Trường có tổ chức các sự kiện, dã ngoại hay hoạt động ngoại khóa trong năm học không?",Hoạt động này của trường rất phong phú và đa dạng với nhiều hình thức khác nhau. Hàng năm đều tổ chức cho học sinh. Mời bạn tham gia nhé!
Trường có các chương trình trao đổi học sinh hoặc giao lưu quốc tế không?,"Có, các hoạt động này diễn ra hàng năm, đa dạng nhiều hình thức khác nhau."
Thư viện của trường có cho học sinh vào nghỉ trưa không?,"Hoạt động tại thư viện là đọc và mượn sách, hs có thể học nhóm tại đây. Và HS không được nghỉ trưa tại thư viện."
"Trường có phòng thí nghiệm, phòng tin học, hoặc các phòng chức năng khác không?",Trường có đầy đủ các phòng chức năng và cơ sở vật chất đảm bảo việc dạy và học.
Nhà trường có dịch vụ tư vấn tâm lý học đường cho học sinh không?,"Trường có phòng tư vấn tâm lí học sinh, sẵn sàng chào đón bất cứ khi nào bạn cần."
Chương trình Tin học quốc tế MOS đầu ra như thế nào?,"Thời giạn chứng chỉ MOS là 5 năm, được công nhận quốc tế. Khuyến khích bạn tham gia đánh giá bài thi."
Mỗi năm trường tuyển sinh bao nhiêu học sinh?,Chỉ tiêu mỗi năm của trường THPT Marie Curie khoảng 1000 học sinh.
Thầy Nguyễn Văn Yên là ai?,"Thầy  là hiệu trưởng trường THPT Marie Curie từ năm học 2022-2023, đến tháng 05/2025 Thầy đã thuyên chuyển công tác."
Tổng cộng học sinh toàn trường? (trường có bao nhiêu học sinh?),Trường có gần 3000 học sinh cho ba khối lớp.
Trường có sân pickle ball đúng không?,"Có, bạn có thể thoải mái chơi trong giờ ra chơi"
Trường có học online không?,"Theo thời khóa biểu, có thể sẽ học online một số tiết, đảm bảo tinh thân chuyển đổi số trong giáo dục."
Giáo viên có dạy thêm hay không?,"Giáo viên trường dạy thêm đúng quy định của bộ giáo dục, bạn liên hệ trực tiếp giáo viên để rõ hơn."
Có cần khám sức khoẻ hằng năm không?,"Có, mỗi năm trường đều tổ chức khám sức khoẻ định kì"
Có được dùng điện thoại trong trường không?,Bạn không được phép sử dụng điện thoại trong giờ học.
Trường học mấy buổi?,"Trường theo mô hình học 2 buổi, tuy nhiên sẽ có những ngày chỉ học có 1 buổi. Bên cạnh đó, có học onine một số tiết."
Có thể đổi tổ hợp môn sau khi đăng ký không vậy?,Có thể làm đơn xin Ban Giám Hiệu duyệt để đổi nhưng thông thường sẽ rất mất thời gian. Nên cân nhắc kỹ trước khi chọn tổ hợp
Nhà vệ sinh ở dãy nào sạch nhất vậy?,Những nhà vệ sinh ở dãy F cả trên và dưới lầu đều rất sạch. (Dựa trên nhựng trải nghiệm của cựu học sinh)
Muốn mua thêm đồng phục thì phải liên hệ với ai?,Có thể liên hệ với thư viện để hỏi
Muốn đăng ký tập gym ở trường mình thì giá với hình thức đăng ký như nào v ạ có được giảm giá không ạ,Học sinh ở Marie Curie sẽ không được nhận giảm giá vì Gym One không thuộc quyền quản lí của trường
Em muốn tham gia hoa phượng đỏ thì có yêu cầu gì không ạ với làm sao để tham gia ạ,Không cần yêu cầu đặc biệt gì hết. Điền form của câu lạc bộ và chờ phản hồi thôi ạ
Chỗ photocopy trường mình có bán huy hiệu đoàn không ạ?,Không có bán tại thời điểm này ạ
Cho em hỏi thường trường mình có đội tuyển TA Olympic không ạ?,Có cả 3 khối 10 11 và 12. Phải làm bài test đầu vào mới vô được ạ.
Sân cầu lông trường mình có cho thuê k ạ. Nếu có thì giờ như thế nào v ạ,Trước 17h ngày thường thì Hs Marie Curie sẽ được giảm 50% và chỉ phải trả 95k. Ngày T7 + CN sẽ phải trả 120k (đã giảm 50%)
"cho em hỏi là các clb chỉ tuyển thành viên 1 năm 1 lần thoi ạ, em rớt hết mấy clb em thích nên kh biết còn cơ hội nào để tham gia không ạ","Có thể chờ đợt casting tuyển thành viên mới của clb trên Facebook hoặc liên hệ thầy Nguyễn Thanh Phong - Trợ lý thanh niên, SĐT/Zalo: 0908264859."
Mất đồ thì có thể tìm lại ở chỗ nào ạ?,Có thể vô phòng giám thị hoặc lên confession để thông báo tìm đồ
"cho e xin hỏi thăm, khối 10 có đc tổ chức đi Đà Lạt ko?","Không nha em, lớp 11 và 12 mới có tổ chức"
Thuê sân cầu lông của MC là thuê trực tiếp hay sao ạ,Có thể trực tiếp hoặc gọi đặt sân trước
"tham gia lớp olympic văn có cần phải kiểm tra đầu vào ko ạ , lỡ ktra ko đạt có dc ở lại học ko ạ","Có test đầu vào nha em, không đạt thì sẽ không được học đội tuyển"
cho em hỏi bao giờ trường đi Đà Lạt thế ạ,Gần học kỳ 2 lớp 11 và 12 mới được đi
"Cho em hỏi, em được phát phù hiệu mà lỡ làm lạc mất thì mua lại ở đâu ạ??",Liên hệ phòng thư viện hoặc giám thị để hỏi chi tiết nha em
bao nhiêu phiếu thì hạ 1 bậc hạnh kiểm ạ?,Trên 3 phiếu sẽ bị hạ hạnh kiểm
Tổ trưởng tổ toán là ai?,Viên phân công nhiệm vụ của giáo viên thay đổi theo từng năm học. Bạn cần liên hệ phòng học vụ nếu muốn biết thêm chi tiết.
trường có bao nhiêu học sinh?, Trường có gần 3000 học sinh cho cả 3 khối lớp.
Nguyễn Trần Khánh Bảo là ai?, Từ năm học 2025-2026 Thầy Nguyễn Trần Khánh Bảo là Hiệu trưởng của trường THPT Marie Curie.

